TableName	KeyString	Co	RecType	FieldName	OldValue	NewValue	DateTime	UserName	AuditID	HostName
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0375-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197453	12	D	None	None	None	2020-04-24 08:43:05.390000	PRIM\rreynolds	141449458	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0387-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197457	12	D	None	None	None	2020-04-24 08:43:05.463000	PRIM\rreynolds	141449459	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0387-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197458	12	D	None	None	None	2020-04-24 08:43:05.500000	PRIM\rreynolds	141449460	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0420-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197465	12	D	None	None	None	2020-04-24 08:43:05.590000	PRIM\rreynolds	141449461	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0425-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197467	12	D	None	None	None	2020-04-24 08:43:05.657000	PRIM\rreynolds	141449462	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0460-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 197473	12	D	None	None	None	2020-04-24 08:43:05.803000	PRIM\rreynolds	141449463	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 0460-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 197474	12	D	None	None	None	2020-04-24 08:43:05.877000	PRIM\rreynolds	141449464	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 1154-     - Mth: Apr  1 2020 12:00AM Cost Trans: 197498	12	D	None	None	None	2020-04-24 08:43:06.090000	PRIM\rreynolds	141449465	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 1903-     - Mth: Apr  1 2020 12:00AM Cost Trans: 198164	12	D	None	None	None	2020-04-24 08:43:07.427000	PRIM\rreynolds	141449466	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 1907-     - Mth: Apr  1 2020 12:00AM Cost Trans: 198172	12	D	None	None	None	2020-04-24 08:43:07.990000	PRIM\rreynolds	141449467	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 5100-     - Mth: Apr  1 2020 12:00AM Cost Trans: 198270	12	D	None	None	None	2020-04-24 08:43:08.760000	PRIM\rreynolds	141449468	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 5200-     - Mth: Apr  1 2020 12:00AM Cost Trans: 198274	12	D	None	None	None	2020-04-24 08:43:08.867000	PRIM\rreynolds	141449469	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9577-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 197894	12	D	None	None	None	2020-04-24 08:43:11.043000	PRIM\rreynolds	141449470	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9577-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 197895	12	D	None	None	None	2020-04-24 08:43:11.053000	PRIM\rreynolds	141449471	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9644-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 197978	12	D	None	None	None	2020-04-24 08:43:11.430000	PRIM\rreynolds	141449472	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9644-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 197979	12	D	None	None	None	2020-04-24 08:43:11.450000	PRIM\rreynolds	141449473	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9654-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 198078	12	D	None	None	None	2020-04-24 08:43:11.867000	PRIM\rreynolds	141449474	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9654-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 198079	12	D	None	None	None	2020-04-24 08:43:11.883000	PRIM\rreynolds	141449475	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 7902-     - Mth: Apr  1 2020 12:00AM Cost Trans: 198720	12	D	None	None	None	2020-04-24 08:43:12.150000	PRIM\rreynolds	141449476	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 8087-     - Mth: Apr  1 2020 12:00AM Cost Trans: 198744	12	D	None	None	None	2020-04-24 08:43:12.460000	PRIM\rreynolds	141449477	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 8087-     - Mth: Apr  1 2020 12:00AM Cost Trans: 198745	12	D	None	None	None	2020-04-24 08:43:12.493000	PRIM\rreynolds	141449478	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9586-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 198534	12	D	None	None	None	2020-04-24 08:43:15.053000	PRIM\rreynolds	141449479	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9586-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 198535	12	D	None	None	None	2020-04-24 08:43:15.083000	PRIM\rreynolds	141449480	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9610-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 198972	12	D	None	None	None	2020-04-24 08:43:18.033000	PRIM\rreynolds	141449481	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9610-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 198973	12	D	None	None	None	2020-04-24 08:43:18.047000	PRIM\rreynolds	141449482	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9613-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 199002	12	D	None	None	None	2020-04-24 08:43:18.167000	PRIM\rreynolds	141449483	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9613-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 199003	12	D	None	None	None	2020-04-24 08:43:18.180000	PRIM\rreynolds	141449484	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9620-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 199062	12	D	None	None	None	2020-04-24 08:43:18.413000	PRIM\rreynolds	141449485	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9620-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 199063	12	D	None	None	None	2020-04-24 08:43:18.430000	PRIM\rreynolds	141449486	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9540-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 199692	12	D	None	None	None	2020-04-24 08:43:19.640000	PRIM\rreynolds	141449487	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9540-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 199694	12	D	None	None	None	2020-04-24 08:43:19.660000	PRIM\rreynolds	141449488	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9626-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 199897	12	D	None	None	None	2020-04-24 08:43:20.500000	PRIM\rreynolds	141449489	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9626-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 199898	12	D	None	None	None	2020-04-24 08:43:20.510000	PRIM\rreynolds	141449490	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9630-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 199937	12	D	None	None	None	2020-04-24 08:43:20.667000	PRIM\rreynolds	141449491	VNYPVW-XAEP01	
bJCCD                         	JCCo: 12 Job: 43354- Phase: 9630-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 199938	12	D	None	None	None	2020-04-24 08:43:20.680000	PRIM\rreynolds	141449492	VNYPVW-XAEP01	
bJCCD                         	JCCo: 7 Job: 10710- Phase: 9800-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 135734	7	D	None	None	None	2020-04-24 14:05:59.020000	PRIM\dwilson	141461072	VNYPVW-XAEP14	
bJCCD                         	JCCo: 7 Job: 10710- Phase: 9800-     - Mth: Apr  1 2020 12:00AM Cost Trans: 135735	7	D	None	None	None	2020-04-24 14:05:59.033000	PRIM\dwilson	141461073	VNYPVW-XAEP14	
bJCCD                         	JCCo: 7 Job: 10710- Phase: 0100-     - Mth: Apr  1 2020 12:00AM Cost Trans: 135739	7	D	None	None	None	2020-04-24 14:22:31.313000	PRIM\dwilson	141461186	VNYPVW-XAEP14	
bJCCD                         	JCCo: 7 Job: 10710- Phase: 9800-     -      Mth: Apr  1 2020 12:00AM Cost Trans: 136147	7	D	None	None	None	2020-04-24 14:22:33.297000	PRIM\dwilson	141461187	VNYPVW-XAEP14	
bJCCD                         	JCCo: 7 Job: 10710- Phase: 9800-     - Mth: Apr  1 2020 12:00AM Cost Trans: 136148	7	D	None	None	None	2020-04-24 14:22:33.307000	PRIM\dwilson	141461188	VNYPVW-XAEP14	
