Project	WBSPathID	ViewpointWBS	CommitmentID	CostAccountID	Quantity	UOM	Hours	Cost	VendorID	LineID	Description	TransactionDate	ExternalKey	TransactionTypeID	CreateDate
	3052132.01.06013140000.45		LF-180023	45	0.00	WKS	0.00	32620.00	130.102149	1	SCHEDULING SEVERICES	2018-10-03	107791833		2018-10-18T06:00:26.657-07
	3052132.01.06013140000.45		LF-180023	45	0.00	WKS	0.00	32620.00	130.102149	1	SCHEDULING SEVERICES	2018-10-03	107791833		2018-10-18T06:00:26.657-07
	3052132.02.06023000000.41		3052132-01	41	0.00	LS	0.00	-29499.00	130.115494	1	EARTHWORK	2018-11-01	108621261		2018-11-02T06:00:14.437-07
	3052132.96.06961001000.41		3052132-02	41	0.00	LS	0.00	-3000.00	130.109264	1	ORIGINAL CONTRACT	2018-11-01	108678191		2018-11-09T07:38:51.707-08
	3052132.02.06023100000.41		3052132-04	41	0.00	LS	0.00	162678.00	130.121190	1	ORIGINAL CONTRACT	2018-11-19	109579939		2018-11-20T06:00:14.830-08
	3052132.02.06023100000.41		3052132-04	41	0.00	LS	0.00	11635.00	130.121190	1	ORIGINAL CONTRACT	2018-11-19	109580166		2018-11-20T06:00:14.847-08
	3052132.02.06023100000.41		3052132-04	41	0.00	LS	0.00	27034.00	130.121190	1	ORIGINAL CONTRACT	2018-11-19	109580167		2018-11-20T06:00:14.847-08
	Project.Exception			Default	0.00		0.00	45000.00				2019-08-14			2019-08-14T11:11:13.927-07
	PSC223.11.01111000000.31		TR0001-01	31	0.00	LS	0.00	8000.00	130.114072	1	DEMO EARTHWORK & GRADING Material	2018-11-15	10000001		2020-02-05T10:44:59.173-08
	PSC223.11.01111000000.39		TR0001-01	39	0.00	LS	0.00	560.00	130.114072	2	DEMO EARTHWORK & GRADING Sales Tax	2018-11-15	10000002		2020-02-05T10:44:59.740-08
	PSC223.11.01111000000.41		TR0001-01	41	0.00	LS	0.00	20000.00	130.114072	3	DEMO EARTHWORK & GRADING Labor	2018-11-15	10000003		2020-02-05T10:44:59.903-08
	PSC223.11.01113000000.41		TR0001-02	41	0.00	LS	0.00	25000.00	130.103062	1	DEMO ELECTRICAL	2018-11-15	10000004		2020-02-05T10:45:05.140-08
